Driver,Team,LapNumber,LapTimeSec,Sector1Sec,Sector2Sec,Sector3Sec,Compound,TyreLife,SpeedST,IsPersonalBest,TrackStatus,Position,IsAccurate,Year,Circuit,Round
VER,Red Bull Racing,1.0,100.236,,42.325,24.389,SOFT,4.0,250.0,False,1,2.0,False,2022,Sakhir,1
VER,Red Bull Racing,2.0,97.88,31.285,42.269,24.326,SOFT,5.0,296.0,True,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,3.0,98.357,31.499,42.474,24.384,SOFT,6.0,294.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,4.0,98.566,31.342,42.674,24.55,SOFT,7.0,297.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,5.0,98.877,31.498,42.854,24.525,SOFT,8.0,293.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,6.0,98.94,31.572,42.759,24.609,SOFT,9.0,288.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,7.0,99.062,31.637,42.845,24.58,SOFT,10.0,289.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,8.0,99.092,31.616,42.875,24.601,SOFT,11.0,290.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,9.0,99.251,31.625,42.957,24.669,SOFT,12.0,288.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,10.0,99.392,31.736,43.051,24.605,SOFT,13.0,288.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,11.0,99.479,31.749,43.09,24.64,SOFT,14.0,289.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,12.0,99.41,31.702,43.076,24.632,SOFT,15.0,294.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,13.0,99.534,31.809,43.082,24.643,SOFT,16.0,290.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,14.0,102.05,31.831,43.137,27.082,SOFT,17.0,292.0,False,1,2.0,False,2022,Sakhir,1
VER,Red Bull Racing,15.0,117.409,52.162,41.525,23.722,SOFT,1.0,208.0,False,12,4.0,False,2022,Sakhir,1
VER,Red Bull Racing,16.0,96.905,30.944,41.97,23.991,SOFT,2.0,300.0,True,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,17.0,97.587,30.898,42.382,24.307,SOFT,3.0,313.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,18.0,97.717,30.951,42.567,24.199,SOFT,4.0,327.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,19.0,97.728,31.192,42.236,24.3,SOFT,5.0,327.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,20.0,98.257,31.433,42.521,24.303,SOFT,6.0,286.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,21.0,98.294,31.331,42.577,24.386,SOFT,7.0,282.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,22.0,98.243,31.35,42.566,24.327,SOFT,8.0,289.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,23.0,98.091,31.24,42.458,24.393,SOFT,9.0,294.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,24.0,98.187,31.187,42.582,24.418,SOFT,10.0,295.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,25.0,98.372,31.252,42.743,24.377,SOFT,11.0,295.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,26.0,98.476,31.444,42.584,24.448,SOFT,12.0,298.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,27.0,98.823,31.415,42.87,24.538,SOFT,13.0,299.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,28.0,98.782,31.496,42.824,24.462,SOFT,14.0,298.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,29.0,99.384,31.569,43.286,24.529,SOFT,15.0,298.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,30.0,101.537,31.548,43.074,26.915,SOFT,16.0,300.0,False,1,2.0,False,2022,Sakhir,1
VER,Red Bull Racing,31.0,117.239,52.026,41.486,23.727,MEDIUM,1.0,218.0,False,1,4.0,False,2022,Sakhir,1
VER,Red Bull Racing,32.0,96.527,30.783,41.843,23.901,MEDIUM,2.0,294.0,True,1,4.0,True,2022,Sakhir,1
VER,Red Bull Racing,33.0,96.347,30.817,41.723,23.807,MEDIUM,3.0,299.0,True,1,4.0,True,2022,Sakhir,1
VER,Red Bull Racing,34.0,96.384,30.72,41.701,23.963,MEDIUM,4.0,302.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,35.0,96.731,30.946,41.892,23.893,MEDIUM,5.0,301.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,36.0,96.92,30.961,41.889,24.07,MEDIUM,6.0,304.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,37.0,96.962,30.907,42.037,24.018,MEDIUM,7.0,302.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,38.0,96.898,30.949,41.961,23.988,MEDIUM,8.0,304.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,39.0,97.255,31.111,42.043,24.101,MEDIUM,9.0,302.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,40.0,97.308,31.099,42.07,24.139,MEDIUM,10.0,302.0,False,1,2.0,True,2022,Sakhir,1
VER,Red Bull Racing,41.0,97.284,31.044,42.055,24.185,MEDIUM,11.0,302.0,False,1,2.0,True,2022,Sakhir,1
